1,1,var x = 5;,19/6/2023 13:17,19/6/2023 13:17
2,1,let x = 5;,19/6/2023 13:17,19/6/2023 13:17
3,1,const x = 5;,19/6/2023 13:17,19/6/2023 13:17
4,1,all of the above (ทั้งหมดข้างต้น),19/6/2023 13:17,19/6/2023 13:17
5,2,15,19/6/2023 13:17,19/6/2023 13:17
6,2,510,19/6/2023 13:17,19/6/2023 13:17
7,2,"""510""",19/6/2023 13:17,19/6/2023 13:17
8,2,Error,19/6/2023 13:17,19/6/2023 13:17
9,3,for,19/6/2023 13:17,19/6/2023 13:17
10,3,while,19/6/2023 13:17,19/6/2023 13:17
11,3,if,19/6/2023 13:17,19/6/2023 13:17
12,3,switch,19/6/2023 13:17,19/6/2023 13:17
13,4,print(),19/6/2023 13:17,19/6/2023 13:17
14,4,log(),19/6/2023 13:17,19/6/2023 13:17
15,4,write(),19/6/2023 13:17,19/6/2023 13:17
16,4,display(),19/6/2023 13:17,19/6/2023 13:17
17,5,newSet(),19/6/2023 13:17,19/6/2023 13:17
18,5,newMap(),19/6/2023 13:17,19/6/2023 13:17
19,5,newArray(),19/6/2023 13:17,19/6/2023 13:17
20,5,new Array(),19/6/2023 13:17,19/6/2023 13:17
21,6,yield,19/6/2023 13:17,19/6/2023 13:17
22,6,send,19/6/2023 13:17,19/6/2023 13:17
23,6,return,19/6/2023 13:17,19/6/2023 13:17
24,6,callback,19/6/2023 13:17,19/6/2023 13:17
25,21,Model Visual Context,19/6/2023 13:17,19/6/2023 13:17
26,21,Master View Controller,19/6/2023 13:17,19/6/2023 13:17
27,21,Model View Controller ,19/6/2023 13:17,19/6/2023 13:17
28,21,Master Visual Controller,19/6/2023 13:17,19/6/2023 13:17
29,22,V,19/6/2023 13:17,19/6/2023 13:17
30,22,M,19/6/2023 13:17,19/6/2023 13:17
31,22,C,19/6/2023 13:17,19/6/2023 13:17
32,22,all of the above (ทั้งหมดข้างต้น),19/6/2023 13:17,19/6/2023 13:17
33,23,V,19/6/2023 13:17,19/6/2023 13:17
34,23,M,19/6/2023 13:17,19/6/2023 13:17
35,23,C,19/6/2023 13:17,19/6/2023 13:17
36,23,all of the above (ทั้งหมดข้างต้น),19/6/2023 13:17,19/6/2023 13:17
37,24,DB_HOST,19/6/2023 13:17,19/6/2023 13:17
38,24,DB_DATABASE,19/6/2023 13:17,19/6/2023 13:17
39,24,DB_USERNAME,19/6/2023 13:17,19/6/2023 13:17
40,24,DB_NAME,19/6/2023 13:17,19/6/2023 13:17
41,25,Checkbox,19/6/2023 13:17,19/6/2023 13:17
42,25,Dropdown List Box,19/6/2023 13:17,19/6/2023 13:17
43,25,Radio,19/6/2023 13:17,19/6/2023 13:17
44,25,Textarea,19/6/2023 13:17,19/6/2023 13:17
45,26,array_push(),19/6/2023 13:17,19/6/2023 13:17
46,26,array_pop(),19/6/2023 13:17,19/6/2023 13:17
47,26,array_merge(),19/6/2023 13:17,19/6/2023 13:17
48,26,array_splices(),19/6/2023 13:17,19/6/2023 13:17
